episode,timestep,episode_reward,episode_steps,avg_reward_100,alpha,q1_loss,q2_loss,actor_loss,alpha_loss,log_probs_mean,log_probs_min,log_probs_max,mu_mean,mu_min,mu_max,log_std_mean,log_std_min,log_std_max
84,84000,3.86705445046528,1000,6.251444082583222,0.45890238881111145,9.728524863040006,9.995438911709178,-199.45959346953794,0.04108516283788601,-10.39250229169275,-22.331691921880648,-1.3816903484278151,0.03444556996205041,-11.292705052024976,10.939413016492031,0.21010497020299254,-0.6583817381148019,1.6584894965945023
85,85000,5.815088883189353,1000,6.2463104920021175,0.46713173389434814,12.333058792305934,13.042633172570193,-202.11872949373662,0.011225281422853112,-10.473373430203143,-22.3652372460692,-1.5944580556677193,0.049800362794801274,-10.560150406379929,10.521927639595443,0.21769127741570427,-0.6598474794148175,1.4914036077216797
86,86000,10.431460059568368,1000,6.29497502185754,0.4696984887123108,9.093699364053307,13.655551037381205,-205.04825892157723,-0.02435751641152984,-10.563898528366808,-22.19897190670057,-1.4722254673451254,0.020102287056158078,-10.685541035116005,9.920526403294124,0.21872040927486247,-0.6392355227634949,1.5969792226719077
87,87000,14.429884781440819,1000,6.3884797317378075,0.4689777195453644,11.012406882309852,9.820711422132648,-207.8522571667321,0.01269419957971453,-10.471881833731125,-22.51716107793974,-1.6226386489922409,0.004673875718831497,-10.658529589442729,10.304221533409224,0.21173115470280088,-0.6740243224181728,1.5382079444633914
88,88000,2.822703034439931,1000,6.3479595419957855,0.4706428050994873,11.88168516009098,9.818446827631718,-210.3558667609019,0.025651625012733856,-10.440191914877442,-21.977336652469546,-1.4501235780884516,0.0032838620974883588,-11.40651456738344,10.191079448365164,0.20353103994777155,-0.692364756161239,1.5860996791070143
89,89000,0.5970883302303539,1000,6.283343011526511,0.4832514226436615,9.884054616484384,13.948622638549605,-213.2507354691118,-0.009452430765146283,-10.518469231944971,-22.27841203211583,-1.52720515729564,0.019430181705205073,-11.130229862244388,9.9152533082774,0.22806668333665933,-0.650877650703985,1.591031641236127
90,90000,4.566911429579075,1000,6.264271549504872,0.4823949635028839,10.178379332191575,21.659021268108148,-216.10324011351221,-0.008616696811174017,-10.522574819308813,-21.88153916693712,-1.7273181373200535,-0.002100031652690495,-11.463348039806691,10.308781634852352,0.24142174026852412,-0.6376179351008715,1.6367497875636874
91,91000,4.778859965211538,1000,6.247948345281868,0.48479944467544556,11.9122991336366,12.843662758784625,-218.59036967130086,0.0002498412896122931,-10.4932731623933,-23.058379812595476,-1.478817042639179,0.06083632586078969,-10.965635955158758,10.720972294869117,0.22934933244547953,-0.6060929930333847,1.611489809134199
92,92000,8.944304676363407,1000,6.277256566271885,0.48896145820617676,17.258556967950813,11.910196422149157,-221.3118520115309,0.016600662748610318,-10.452049230525086,-22.44769384810976,-1.9056360373356545,0.039508133256245116,-11.5493416925199,10.942081366607916,0.2212243861464981,-0.6122143448885109,1.675998252852931
93,93000,15.80098795927109,1000,6.379662280175102,0.4912412166595459,10.890040019883754,22.819375769423445,-223.79162721148387,0.009811515919065884,-10.478492674644611,-22.156860466376326,-1.4729538598005991,0.021462164610926586,-11.727509656438976,10.084863391490705,0.2415145397721436,-0.5806103677142859,1.6575398107652648
