timestep,log_probs_mean,log_probs_min,log_probs_max,target_entropy,log_alpha,alpha,entropy_diff,alpha_loss,mu_mean,mu_min,mu_max,log_std_mean,log_std_min,log_std_max
22300,-11.818023681640625,-23.617599487304688,-2.0335440635681152,-10.5,-0.9911211729049683,0.3711603283882141,-1.318023681640625,-1.3061577081680298,0.6701146960258484,-5.0217204093933105,4.774110317230225,0.7266488671302795,0.19509398937225342,1.7466906309127808
22400,-11.624336242675781,-22.724403381347656,-2.036653995513916,-10.5,-0.9971571564674377,0.3689267635345459,-1.1243362426757812,-1.1210154294967651,0.6830524206161499,-4.828582286834717,5.364687442779541,0.7695152163505554,0.2254164218902588,2.0
22500,-11.471344947814941,-22.336576461791992,-1.0448848009109497,-10.5,-1.0029149055480957,0.36680868268013,-0.9713449478149414,-0.9740700125694275,0.5812918543815613,-5.747868537902832,5.7593302726745605,0.7594717741012573,0.14118218421936035,1.9069488048553467
22600,-11.414265632629395,-25.126962661743164,-2.0675621032714844,-10.5,-1.0083907842636108,0.36480557918548584,-0.9142656326293945,-0.9218450784683228,0.5983304381370544,-4.7967658042907715,6.136621475219727,0.7532050013542175,0.15994250774383545,2.0
22700,-11.415925979614258,-25.218338012695312,-2.1171581745147705,-10.5,-1.0126769542694092,0.36324530839920044,-0.9159259796142578,-0.9274670481681824,0.5088601112365723,-4.814708709716797,6.701323509216309,0.6611429452896118,0.02668440341949463,1.5215071439743042
22800,-11.274125099182129,-22.679527282714844,-1.3291314840316772,-10.5,-1.0167527198791504,0.36176779866218567,-0.7741250991821289,-0.787032961845398,0.5315431952476501,-6.578298091888428,6.644564628601074,0.6635617017745972,-0.7600919008255005,1.4607173204421997
22900,-11.369632720947266,-24.01951026916504,-1.3126999139785767,-10.5,-1.0213357210159302,0.36011365056037903,-0.8696327209472656,-0.888105034828186,0.5110523700714111,-7.7636942863464355,7.041186809539795,0.8192050457000732,0.11869668960571289,2.0
23000,-11.476573944091797,-23.342008590698242,-2.1844615936279297,-10.5,-1.025750994682312,0.35852712392807007,-0.9765739440917969,-1.0016332864761353,0.2677294611930847,-7.543635845184326,6.272107124328613,0.7438777089118958,0.079184889793396,1.714464545249939
23100,-11.278692245483398,-25.723167419433594,-2.298943519592285,-10.5,-1.030158519744873,0.3569503724575043,-0.7786922454833984,-0.8021115660667419,0.1979490965604782,-7.461078643798828,7.558659553527832,0.7897723317146301,0.1595323085784912,2.0
23200,-11.46168041229248,-22.83992576599121,-1.484684944152832,-10.5,-1.0344650745391846,0.3554164469242096,-0.9616804122924805,-0.9947344660758972,0.20598815381526947,-7.748791694641113,6.8602495193481445,0.866820216178894,0.2335355281829834,1.727360725402832
23300,-11.120075225830078,-23.47963523864746,-1.340724229812622,-10.5,-1.0389022827148438,0.3538428843021393,-0.6200752258300781,-0.6441492438316345,0.1039101779460907,-7.672674179077148,6.877767562866211,0.865971565246582,0.23931431770324707,1.8443524837493896
23400,-11.341207504272461,-24.627832412719727,-1.5007466077804565,-10.5,-1.043483018875122,0.35222575068473816,-0.8412075042724609,-0.8777063488960266,0.1398414522409439,-6.982064723968506,6.643908500671387,0.8598199486732483,0.17371296882629395,1.8973360061645508
